Date,PMI,CPI:同比,M2:同比,中债国债收益率:10年,信用利差:AA+产业3年,美元兑人民币:中间价,沪深300,黄金现货:SHTAU
2023-08-31 00:00:00,50.229,2.5861,8.9079,2.8391,56.6972,7.1445,4051.9728,1974.014
2023-09-30 00:00:00,50.1737,2.7252,8.7102,2.7234,60.2659,7.153,3979.2907,1969.8804
2023-10-31 00:00:00,50.8608,2.8106,9.217,2.5877,63.2481,7.1985,3716.3464,1980.6606
2023-11-30 00:00:00,,2.4147,9.1599,2.6341,63.473,7.1981,3609.6261,1955.2747
2023-12-31 00:00:00,50.6759,2.4107,9.0401,2.5216,62.2552,7.2116,3744.973,1962.8947
2024-01-31 00:00:00,51.335,2.5756,8.9154,2.5846,61.5424,7.274,3803.2245,1946.0867
2024-02-29 00:00:00,51.6265,1.9366,8.7766,2.2634,63.4706,7.2085,3794.5314,1951.5578
2024-03-31 00:00:00,51.2611,1.9909,8.2683,2.2708,62.3566,7.2676,,1960.9803
2024-04-30 00:00:00,51.1889,1.4463,8.5186,2.2128,58.9576,7.2445,3757.2253,1987.0714
2024-05-31 00:00:00,50.8206,1.0365,8.2,2.0655,58.9243,7.3053,3797.8153,2041.2597
2024-06-30 00:00:00,50.9686,1.2367,8.1537,2.0565,58.0075,7.2435,3750.6644,1972.196
2024-07-31 00:00:00,50.0621,0.9594,8.0802,2.0623,54.3128,7.1931,3653.4233,2051.2298
,,,,,,,,
2024-08-31 00:00:00,49.7107,0.9978,8.0425,2.0811,53.3883,7.1941,3644.7165,2115.4607
2024-09-30 00:00:00,49.5958,1.386,7.7883,2.0712,53.6644,7.1346,3540.4664,2129.9841
2024-10-31 00:00:00,49.9661,1.8202,7.835,2.1987,51.6941,7.1517,3596.8538,2152.2345
2024-11-30 00:00:00,49.4556,1.8201,7.9388,2.2526,49.3281,7.114,3435.6687,2123.5409
2024-12-31 00:00:00,49.11,1.5888,7.7187,2.3869,50.0361,7.0885,3456.3399,2072.824
2025-01-31 00:00:00,48.2627,2.1606,7.9893,2.394,43.1915,7.0707,3473.0899,2028.4348
2025-02-28 00:00:00,49.1073,2.3849,7.9631,2.4969,46.1698,7.1076,3344.8852,2009.32
2025-03-31 00:00:00,48.7074,2.4699,7.7964,2.5966,45.3362,7.0757,3247.5216,1997.8181
2025-04-30 00:00:00,48.5386,2.5435,8.0437,2.7367,50.3067,7.0802,3275.0858,2036.0507
2025-05-31 00:00:00,49.3441,2.4751,8.3101,2.737,51.366,7.0754,3301.3318,1991.3795
2025-06-30 00:00:00,49.5973,2.3517,8.5119,2.8394,52.9494,7.0323,3469.7445,1998.8757
2025-07-31 00:00:00,49.9505,2.1637,8.5506,2.7108,50.1219,7.0649,3329.8738,2010.5505
2025-08-31 00:00:00,49.9996,1.5935,8.7391,2.6701,55.299,7.0812,3416.9571,2082.0875
2025-09-30 00:00:00,50.4733,1.5439,8.9224,2.6138,58.1376,7.0666,3217.0334,2050.1871
2025-10-31 00:00:00,50.5896,1.2668,8.9779,2.4991,57.5439,7.1138,3151.8067,2037.6239
2025-11-30 00:00:00,50.6335,1.1142,9.0121,2.457,61.9684,7.1416,3291.5064,1961.5341
2025-12-31 00:00:00,51.6845,1.0509,9.0968,2.3526,61.1249,7.1544,3211.1367,1903.3643
2026-01-31 00:00:00,51.032,1.167,9.182,2.2846,63.5027,7.1643,3133.474,1887.8781
2026-02-28 00:00:00,50.9368,1.1521,9.0204,2.1048,59.1887,7.187,3205.347,1918.7821
2026-03-31 00:00:00,51.4427,1.1267,9.2139,2.0793,60.5485,7.1953,3181.0446,1910.2681
2026-04-30 00:00:00,50.7235,1.5104,8.9076,2.1408,61.6011,7.2067,3275.3353,1966.336
2026-05-31 00:00:00,51.7016,1.5693,9.3146,1.9328,58.3627,7.2769,3206.9916,2004.5797
2026-06-30 00:00:00,50.7409,2.188,9.037,2.062,59.6111,7.2121,3314.0118,1968.5944
2026-07-31 00:00:00,50.2018,2.3569,8.6733,2.1004,60.1211,7.2582,3444.3817,1933.7291
